Sample,Sum formula,O count,DBE,Cnd_ 9,Cnd_2,Cnd_ 4,Cnd_ 5,Cnd_ 3,Cnd_ 4**,Cnd_ 5**,Cnd_ 6,Cnd_ 8,Cnd_ 7,Feed
pos_1084_219.10085,C13H14O3,3,7,3379,3177,3165,2489,3069,3543,3246,1767,3234,3070,3146
pos_1085_219.10172,C13H14O3,3,7,3002,5504,3394,1366,4886,3939,2317,615,2188,2156,5506
pos_1093_221.116,C13H16O3,3,6,604,578,459,359,822,789,535,455,416,477,3002
pos_1097_221.15215,C14H20O2,2,5,1577,1584,1864,609,2239,1613,869,413,1109,679,315
Amine or pyrrolidines?_222.18301,C12H19NO,1,4,166,46,238,1398,84,151,463,3499,805,1239,46
Amine or pyrrolidines?_222.18333,C14H23NO,1,4,412,200,844,1608,314,449,849,1282,1037,1454,16
Amine or pyrrolidines?_222.1848,C14H23NO,1,4,178,44,338,1284,50,117,398,2989,724,999,29
pos_1109_223.09225,C7H14N2O6,6,2,1042,683,1122,999,1048,1076,1200,774,1280,965,348
Aldehydes and ketones_107.04736,C5H8O,1,2,476,1230,537,100,1038,676,305,76,353,163,1458
pos_1112_223.10887,C14H16O,1,7,708,973,461,507,834,719,529,438,557,487,3088
pos_1118_225.14429,C8H20N2O5,5,0,1750,1778,1692,1003,2072,2325,1353,324,1640,1174,192
pos_1119_225.14731,C13H20O3,3,4,3872,734,4707,2655,1819,3666,4199,744,4976,3767,233
pos_1125_227.10414,C10H14N2O4,4,5,672,1249,601,392,709,687,455,368,550,371,2484
Hydrocarbons?_227.17668,C15H24,0,4,2586,257,2656,3882,916,2473,4354,2983,4449,4615,113
Benzopyrans?_229.08472,C14H12O3,3,9,1926,1867,1659,1530,1546,1533,1499,1604,1848,1939,1702
pos_1137_229.11533,C3H6N4O,1,3,1325,1147,1165,811,1429,869,834,419,636,618,1749
Aldehydes/ketones_229.1199,C13H18O2,2,5,1076,3880,1036,689,2191,1209,549,394,708,587,6398
pos_1141_229.12035,C10H16N2O4,4,4,1218,1496,1397,911,1465,1727,1266,789,1275,1170,2327
pos_1142_229.12108,C15H16O2,2,8,21057,8114,26726,31595,14036,19642,27925,35738,29664,29492,4668
Aldehydes/ketones_229.12115,C15H16O2,2,8,5661,6069,6628,3744,6737,6836,5013,1101,5729,4895,1399
Furans_229.12177,C15H16O2,2,8,2129,2210,2533,1755,3000,2650,2396,917,2397,2165,1509
pos_1147_229.12334,C15H16O2,2,8,937,1222,813,664,1563,1309,756,591,940,798,1030
"1,2-aminoalcohols?_230.24861",C14H31NO,1,0,1639,1774,1245,1848,1167,1334,1232,1690,1642,1948,1346
Coumarin derivatives_231.10106,C14H14O3,3,8,598,1342,516,505,803,685,494,382,522,541,2241
pos_1163_231.1274,C17H16N2,0,11,1686,1845,1587,1618,2166,1807,1726,1519,1751,2221,2111
pos_1178_233.11104,C9H16N2O5,5,3,1002,1608,1383,850,1704,1176,917,617,1307,829,1250
pos_118_109.0601,C2H8N2O3,3,0,1483,721,1118,1845,723,1453,1847,1998,1904,2224,646
"Acetophenones, 2,2-dimethyl-1-benzopyrans, Chromones_233.11397",C14H16O3,3,7,1890,2654,1915,1310,2514,2232,1583,983,1491,1407,1433
"Acetophenones, 2,2-dimethyl-1-benzopyrans, Chromones_233.11549",C14H16O3,3,7,2808,3170,2871,2048,3009,3617,2695,1671,3924,2895,2243
pos_1184_233.12949,C13H16N2O2,2,7,332,664,326,257,614,250,186,164,169,199,3006
pos_1185_233.14948,C9H16N2O3,3,3,1015,2305,968,601,1813,1287,738,408,614,650,2291
Aldehydes and ketones_233.18864,C16H24O,1,5,1862,812,2323,968,2009,2422,1960,386,2203,1323,90
pos_1192_235.0941,C15H20N6O6,6,9,1451,1949,1487,989,1302,1448,1294,426,1429,1246,856
pos_1193_235.10989,C15H16O,1,8,1776,3842,1952,789,3621,2338,942,140,719,607,3320
2-benzopyrans?_235.1322,C14H18O3,3,6,9654,20783,9468,1695,17371,10468,4808,240,5488,2827,17430
pos_1199 (charged molecule?)_236.20518,C12H29NOS,1,0,140,54,228,976,39,46,197,1580,425,606,40
Stilbenes or 3Ar Rings_237.12677,C17H16O,1,10,498,597,418,290,524,694,769,434,766,753,3707
Methoxyphenols?_237.14722,C14H20O3,3,5,4389,1030,5157,4035,2469,5047,6055,934,5691,5227,547
pos_1209_237.17999,C10H24N2O4,4,0,1279,872,1963,864,2102,1689,1431,301,1729,1004,93
pos_1224_241.11996,C14H18O2,2,6,3651,6586,2430,847,5214,3930,1848,497,1882,1139,5949
OH-3arRings ketones_243.10161,C15H14O3,3,9,8121,8434,9396,9364,8574,8768,8577,8104,9023,8213,7525
OH-2-3arRings ketones/pyrans_243.1026,C15H14O3,3,9,3975,4389,4111,3745,4359,3783,3479,3414,3674,3900,4081
pos_1236_243.13634,C16H18O2,2,8,1609,1622,1786,1324,1942,1614,1377,499,1605,1473,2531
pos_1237_243.13721,C15H14O,1,9,14687,7387,20889,22421,12290,14860,20900,23981,19226,20472,4876
Methoxyphenols?_111.04196,C4H8O2,2,1,278,1814,312,322,399,378,280,263,382,318,6007
Aldehydes?_245.18918,C17H24O,1,6,1245,328,1607,2054,536,1220,2507,1590,2555,2981,181
Aliphatic amines_246.24039,C14H31NO2,2,0,8137,10666,7024,7977,9299,8715,8443,8228,8081,11103,9715
Coumarans or acetophenones (2ar Rings)_247.13155,C15H18O3,3,7,1392,1430,1522,985,1572,1298,1278,827,1407,1231,1093
Methoxyphenols?_111.04208,C4H8O2,2,1,305,877,224,224,384,358,394,360,338,420,3284
pos_1250_247.14594,C19H20O,1,10,391,614,239,64,361,287,147,100,266,117,2242
pos_1252_248.19925,C13H17N,0,6,750,340,1752,2957,629,1020,1632,3248,2179,2482,25
Sesquiterpenoids_249.16267,C19H22O,2,9,988,3056,322,181,1570,1128,564,120,695,249,16158
Sesquiterpenoids_249.16396,C19H22O,2,9,9539,11446,10059,6501,10061,8956,5387,2793,5955,5302,2927
Sesquiterpenoids_249.16431,C19H22O,2,9,334,1792,436,238,467,139,306,132,193,505,4540
pos_1281_251.14012,C13H18N2O3,3,6,3520,2374,3408,2641,2791,3920,4141,856,3686,3627,1271
pos_1284_251.16031,C15H22O3,3,5,1714,759,2157,2107,1298,1807,1844,1037,2102,2092,300
pos_1291_253.11679,C12H16N2O4,4,6,566,809,613,380,560,861,657,518,751,737,960
pos_1293_255.10091,C16H14O3,3,10,1546,3221,837,419,1766,1527,629,262,709,572,3013
Benzopyrans?_257.11475,C16H16O3,3,9,10531,10151,10667,11642,10170,10506,10433,10332,10712,10281,8885
OH-3arRings ketones_257.11768,C16H16O3,3,9,5501,5500,6174,5953,5417,5350,6264,6603,6986,6522,5359
pos_1307_258.24188,C15H31NO2,2,1,404,232,365,649,388,384,313,353,296,328,250
pos_1327_262.21317,C12H27NO,1,0,943,275,1927,3690,663,906,1812,3538,2105,3028,111
Methoxyphenols?_111.04384,C6H6O2,2,4,572,1760,575,393,986,537,321,314,379,333,2039
pos_1334_263.17685,C15H22N2O2,2,6,282,355,393,375,344,330,312,407,269,326,2270
pos_1337_265.15152,C9H20N4O5,5,2,5231,5344,5726,5192,5572,5474,5614,2493,5352,4065,4435
Stilbenes or 3Ar Rings_265.15656,C19H20O,1,10,547,553,315,267,427,601,555,662,914,608,3168
pos_1340_265.15775,C19H20O,1,10,4868,5204,5402,4923,5291,6373,5875,2844,5677,4958,4781
pos_1341_265.15854,C16H12,0,11,15240,12850,16602,15666,14604,16331,17359,11985,17045,14742,7425
pos_1342_265.16406,C13H20N4O2,2,6,4980,4737,5187,4418,4976,5839,6431,2866,6232,5091,4986
pos_1353_267.13516,C10H10N2O3,3,7,725,1001,819,601,1073,1035,680,402,696,626,2874
OH-3arRings ketones/pyrans_269.11539,C17H16O3,3,10,4629,4597,4563,4386,4794,4732,4430,4068,4556,3731,4711
OH-3arRings ketones/pyrans_269.11548,C17H16O3,3,10,2380,2998,2626,1976,2597,2464,2660,2123,2521,2502,2065
OH-3arRings ketones/pyrans_269.11615,C17H16O3,3,10,3638,4335,3445,3655,3747,3387,3387,3257,3818,3948,3279
